TF,W,R
LBX2,-1817.28989288413,496
ZNF329,-1821.54929945786,497
PROP1,-1835.20704475445,498
LIN54,-1840.92579782507,499
NFIL3,-1856.27510791255,500
E2F5,-1869.12413863829,501
DLX3,-1883.19867011684,502
E2F8,-1897.04780683133,503
POU4F1,-1898.76193569749,504
ZBTB49,-1902.99328426076,505
DMBX1,-1921.07580451254,506
BHLHE22,-1928.37075042734,507
FOXF2,-1929.52907011454,508
T,-1940.39224025381,509
POU4F2,-1950.74584413776,510
LHX9,-1951.10922517817,511
VSX1,-1957.7376715001,512
EPAS1,-1959.19217582726,513
PITX3,-1962.09389125726,514
HESX1,-1973.70953249623,515
ARID5B,-1973.94049471559,516
HLF,-1980.45299978134,517
CCR7,-1985.63819487254,518
NR3C2,-1987.44679493774,519
BHLHE23,-1989.33974914026,520
UNCX,-1995.48150431216,521
ISX,-1995.97983225085,522
FOXP3,-2003.54484978857,523
SOX18,-2014.73306688828,524
MECOM,-2020.53187693208,525
HOXD9,-2023.48581406184,526
HOXB5,-2040.75683114183,527
NEUROD2,-2045.31488311678,528
ONECUT3,-2051.89267452739,529
TBX19,-2054.27945230098,530
ARID3B,-2066.7375211404,531
CREB5,-2072.4437391943,532
POU4F3,-2073.08148162218,533
PAX1,-2077.16085509396,534
EN2,-2082.50248374862,535
ISL2,-2087.97002361424,536
ATF7,-2098.39906838679,537
OVOL1,-2104.45105609985,538
HOXA9,-2111.8354121213,539
HLTF,-2116.30702917018,540
OTX1,-2121.87287678151,541
PROX1,-2133.93479878523,542
PRRX2,-2138.95344436411,543
OLIG1,-2150.58324747549,544
PHOX2B,-2161.6896892925,545
HOXC9,-2177.2723404869,546
OLIG3,-2193.79689227431,547
DLX2,-2208.77684042759,548
NEUROG1,-2212.73948298532,549
SHOX,-2214.58287146059,550
NOBOX,-2219.51614648351,551
PAX9,-2226.21372391037,552
ARID5A,-2227.70704954896,553
PHOX2A,-2231.82088120018,554
LMX1B,-2241.33005741438,555
GSC,-2257.34790580269,556
NKX6-1,-2259.50627868104,557
DRGX,-2282.09051223175,558
MNX1,-2301.94642107759,559
DUXA,-2307.3244228361,560
BSX,-2309.57943143467,561
DMRT3,-2312.66461677742,562
ZNF260,-2326.07826741847,563
ZNF136,-2338.74364280341,564
SOX1,-2343.06701930718,565
TEF,-2350.76689214095,566
GATA5,-2353.49845266299,567
ESX1,-2358.73323161708,568
IRX2,-2364.00760441679,569
HOXD3,-2369.54188300949,570
GSC2,-2371.12648907904,571
RAX,-2372.64731756894,572
IRX5,-2388.04774410544,573
PRDM4,-2390.71661724595,574
TRAF4,-2396.54898133678,575
NKX6-2,-2398.37711683784,576
LHX8,-2399.46494634266,577
HMBOX1,-2400.50097236824,578
GSX2,-2401.05517944154,579
BARHL1,-2409.52422013124,580
NOTO,-2422.70631247831,581
POU6F1,-2439.12449455387,582
LBX1,-2444.58111301019,583
PAX7,-2448.52435815615,584
PAX3,-2464.54904116023,585
HOXB3,-2464.58066038648,586
GBX1,-2465.43117973123,587
ONECUT2,-2495.59161047598,588
GSX1,-2501.71920822256,589
SHOX2,-2504.03823083944,590
MIXL1,-2530.92638662435,591
MEOX1,-2539.20236015181,592
LMX1A,-2557.73028379446,593
PAX4,-2561.05451439106,594
LHX4,-2576.85087441157,595
VENTX,-2578.4346048693,596
ZNF502,-2610.70729282072,597
HOXA2,-2618.96318436149,598
HOXA1,-2622.65101807992,599
EVX2,-2623.74191337873,600
DLX1,-2656.14600147115,601
DLX5,-2659.22388713072,602
CUX2,-2661.98784579944,603
RAX2,-2663.62033874821,604
EVX1,-2664.17337361518,605
DLX6,-2667.71977454806,606
HOXB2,-2673.12437588022,607
DLX4,-2704.75144463169,608
HOXA5,-2711.85813948091,609
VAX2,-2715.07393683734,610
HOXA11,-2715.61928022012,611
VAX1,-2748.02464775849,612
VSX2,-2770.56317236978,613
HOMEZ,-2813.32210255593,614
ZNF586,-2840.68804864325,615
GLIS1,-2899.66913561525,616
ZNF250,-2940.08557455256,617
ZBED1,-3006.91254917011,618
SOX11,-3041.14720431952,619
BCL6B,-3477.1033145236,620
ZNF490,-3569.87771873363,621
ZNF146,-3626.94228361872,622
