,stat,pvalue,dof,FDR
RFX2,-2.05254007060749,0.0499801224830714,26.8550817193522,0.0664265730437402
SPDEF,-2.04501810739744,0.0505764192946883,27.372324404274,0.0670733661233221
NRF1,-2.04266442637762,0.0498938242830988,30.2179256865255,0.0664265730437402
MTF1,-2.0366775032473,0.0523810350191276,25.0533413169107,0.0687362948985176
MBD2,-2.036539943476,0.0509173815683813,29.0025133614787,0.0672412130266097
USF2,-2.02786216886596,0.0515748790427434,29.8735199819695,0.0679652007724288
SREBF1,-2.02538995223787,0.0523232145082323,28.3823475915657,0.0687362948985176
ELK1,-2.02444263913292,0.0525183094111752,28.1143296816636,0.0687713441131599
TP73,-2.02342427519544,0.0527653919159093,27.7274933115657,0.0689497348144865
BACH2,-1.99978554511257,0.055176948157613,28.3801949775095,0.0716493982338941
TBX20,-1.99855001635436,0.055106395723338,29.0078434376898,0.0716493982338941
CREB3L1,-1.99286616712556,0.0576088437153315,24.3267906732099,0.0744962594406158
STAT6,-1.98740105493405,0.057110409389724,26.9954037197373,0.0740055721675173
JUND,-1.98342121846828,0.0577745694766675,26.492042319673,0.0745555647603469
HNF4G,-1.97250488252809,0.0588032239875628,27.1829803998914,0.0755694324798845
IRF4,-1.97226233128018,0.0598348886836719,24.7878803638497,0.076736702600503
USF1,-1.97052208037495,0.0581941072770924,29.6028572822946,0.0749414797647028
STAT1,-1.93888231390827,0.0628090577873902,27.5836426864196,0.0802201929029912
SOX2,-1.93804076808064,0.0626827216190248,28.2182340743505,0.0802201929029912
ZBTB7B,-1.93447277802505,0.0639233368510294,26.1980876068554,0.0813094386939474
NEUROD1,-1.920162400765,0.0672980945228018,23.045229482581,0.0850801113682576
JUN,-1.91625193679141,0.0660086786608498,26.9181386257937,0.0837906084225481
IRF1,-1.90464374737051,0.0672441859456976,27.7390218374627,0.0850801113682576
MAFF,-1.89860790115294,0.0679254544015922,28.111085400491,0.0856990520036315
YY1,-1.88785937801461,0.0692829801062722,28.4505831428823,0.0872348453969662
IRF8,-1.87447759000299,0.0723228877252369,25.5925159824862,0.0905127488231335
HNF4A,-1.87216296184418,0.0711227084765129,29.5152518787126,0.0893703528735172
TBX4,-1.86976860932773,0.0717154415316597,28.7947315763703,0.089933477082041
ZBTB33,-1.85136229284865,0.074501867557903,28.5096991165952,0.0930525333755334
RBPJ,-1.84092454971059,0.0760106557277944,28.6499997188323,0.0947467492238239
RXRB,-1.83007607757149,0.0778436221838314,28.1594028210502,0.0968374659966863
ARNTL,-1.81131813224332,0.0805499470835025,28.7556838601557,0.0998049145138219
ZNF418,-1.79554440224851,0.0838294493118072,26.8536472207079,0.103456185460206
TBX5,-1.79330847357915,0.0837466206224286,27.9638501771371,0.103456185460206
FIGLA,-1.78847373379487,0.0852458417762397,26.2558917442728,0.104995868484794
SREBF2,-1.77924648430553,0.0865174103232398,26.8643724066631,0.106141674992219
MAX,-1.77835951844407,0.0860499261801696,28.4098906468775,0.105776786727402
ESRRG,-1.76492123804002,0.0891388359650161,26.4128669438012,0.108928007800079
ZFP82,-1.76009294195837,0.088911012714977,29.0732617901633,0.108863484072275
MGA,-1.75088191998425,0.0911080336795156,27.5188819372381,0.11111607244835
CLOCK,-1.74555105987603,0.0922810629550573,26.9526482806851,0.112107072574308
MYCN,-1.72658268935332,0.0945279099762419,30.0015898243541,0.114612787534547
FOXO6,-1.7195572943751,0.0976416893864024,25.4758937666736,0.118157842020121
SPZ1,-1.71197189321773,0.0992413086114467,25.0818064583541,0.119860376614213
YY2,-1.70380302723875,0.100184039695453,26.3524309278865,0.120764481958472
MYC,-1.68791746873032,0.102000378694428,29.4251175897099,0.122716122916701
FOXJ2,-1.67528008203385,0.106319316900614,25.0506762883131,0.12741929694062
MAFK,-1.67271050749798,0.105462453115797,28.1539993861289,0.12663638192669
HEY2,-1.64441372746971,0.111491699236195,27.4617503778299,0.133361224855602
GRHL2,-1.64218205993549,0.112670447602651,25.8356248811718,0.134506618220022
LEF1,-1.64183186652146,0.112881759985292,25.5427547406724,0.134506618220022
AR,-1.63276900988817,0.114200835543693,26.8288649232965,0.135300799444147
E2F2,-1.63172730560077,0.114194771569858,27.3621164157182,0.135300799444147
SOX3,-1.62185116818754,0.116743060320107,26.3462810667766,0.137787824514433
GFI1B,-1.59376825784161,0.1224442307772,27.4375413958652,0.143970343182265
GLI3,-1.58790982623272,0.125285014101066,24.2054076876718,0.147032601454459
MAF,-1.55001616777302,0.133212275197519,26.029102651519,0.155455975934065
SOX10,-1.54385848681048,0.134414232837008,26.6527615717918,0.156564892929998
NFE2,-1.53124085975234,0.139669850100138,22.4677494455355,0.161992254263096
FOXJ3,-1.51997112153067,0.139855049098525,27.6917202676131,0.161992254263096
FOSL2,-1.5036837717107,0.146670791362968,22.3377375076413,0.169571063620383
THRB,-1.49005731785596,0.151807366496942,20.0055255767268,0.174859596224255
PRDM6,-1.4782685440663,0.151264858559676,26.1855459590164,0.174557962938995
ATF6,-1.46223932999832,0.163576247149298,15.5622446872867,0.18772034266949
NR2F6,-1.45680670580879,0.156420963596561,27.6803943255031,0.179840738183107
CREB1,-1.43564501152481,0.165108576569498,22.097602743874,0.189129898022518
MITF,-1.42427234415159,0.167131344226284,24.2085163350793,0.191095029611671
STAT2,-1.3476955178331,0.191319529855071,22.2504161545997,0.218349995541017
JUNB,-1.34665708594434,0.193313991984458,19.7874151737413,0.219819566753808
MYB,-1.33392765698565,0.192955182477504,28.0569639059839,0.219813413005508
NR2C1,-1.32785554983341,0.196392383360201,24.6483927245929,0.22291252271906
NR1I2,-1.31890768159245,0.200049073421874,23.2402888860211,0.226649405589082
FOXC1,-1.20545905342092,0.239835223664012,23.8809913608587,0.270249110722855
TFE3,-1.19335956958983,0.244999207668849,22.7991492480802,0.275568729059717
TEAD1,-1.18680868226656,0.245836066544067,26.4945762048151,0.276010890596407
RUNX1,-1.13833912660245,0.267776346944935,21.0384014753308,0.300102500540089
TCFL5,-1.11894661282761,0.272779756450867,27.6793753860685,0.305160087252589
NR4A1,-1.09999199839652,0.283271384272245,21.9170347477302,0.315761292145764
ARNT,-1.0286623525977,0.312996460665704,26.3284665974352,0.347649640239406
RHOXF1,-0.989646902322916,0.334896209486581,18.8268229733153,0.371310948842519
NKX2-5,-0.919058378358044,0.368821680207015,20.3678957910669,0.406750150866602
FOS,-0.872215025277819,0.394759200213882,17.7153620972544,0.433816647584866
MEF2C,-0.868857887676052,0.393321620047866,24.6042576578998,0.433001854282784
FOSL1,-0.804926001361269,0.433380427847056,15.0680136483852,0.474582088240966
ZNF547,-0.766265678666285,0.452651602648571,19.5940809101458,0.494814229960301
ZNF394,-0.75355140468685,0.460725116377714,18.2606135714325,0.502756179626207
NR3C1,-0.707954611219891,0.488887507740117,16.4440140084205,0.530694641909866
SOX9,-0.690127450789626,0.499264916722785,17.3068482872257,0.541015293034098
ATF2,-0.671237473720457,0.513505478591203,13.3632346592864,0.553553566176305
TP53,-0.670036822169742,0.510202848396391,20.807123280375,0.55094821476138
ZNF549,-0.6630678515264,0.516503834278375,16.3918971466682,0.555822465261504
NR1I3,-0.652295754998781,0.523043646226254,16.7852282904637,0.561887993009897
PBX1,-0.644306210877522,0.528192826343116,16.5761454627763,0.566441272388652
TBX15,-0.607250286714646,0.551274746319804,17.9863685864533,0.589736831265554
BHLHE40,-0.604662932783655,0.552268059361757,19.8055141188295,0.589736831265554
HSF1,-0.604206638697339,0.552759763067232,19.2543900488819,0.589736831265554
HES1,-0.590284659033929,0.560898775602789,22.4365301652065,0.597395613741327
IRF2,-0.584924877291027,0.565514403852898,18.9061409044924,0.600255903065704
ZFP28,-0.557191874928505,0.584217952017686,18.1098703090814,0.617999262168368
ZFP42,-0.550512814081146,0.589304001550559,16.590911271545,0.621266252482115
MEF2D,-0.537174265170619,0.597055465000501,20.0618584751902,0.628373095144351
