"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"Spermatocytes",0.761224489795918,0.887902910087433,0.059221919380382,0.618936099029776,0.831028366025441,1,"CAPN1"
"Stromal Cells",0.830078125,0.887902910087433,0.0531298054705469,-0.580461692873871,-0.770089014276334,1,"B4GALNT1"
"Undefined Placental Cells",0.747311827956989,0.887902910087433,0.0540088272801684,0.267001829104265,0.831223686249191,35,"KRT18;KRT19;FAM83H;EPHA2;PKP3;CCT3"
"Vascular Smooth Muscle Cells",0.830612244897959,0.887902910087433,0.0551351763385257,0.58146537303446,0.780717459541739,1,"MYLK"
"Satellite Cells",0.841698841698842,0.88934217236104,0.0519512476197082,0.290175521611791,0.708587876613181,13,"EPHA2;DAB2IP;ERRFI1;NCKAP1;CDH1;SH3D19"
"Juxtaglomerular Cells",0.849236641221374,0.891698473282443,0.051011413203915,-0.357378312237099,-0.679233242606128,5,"CDC42EP5"
"Bergmann Glia",0.904081632653061,0.924734920910829,0.051218434854034,0.549013047842088,0.737144620890675,1,"KIF1B"
"Ionocytes",0.899419729206963,0.924734920910829,0.0489954089862481,0.276684537719083,0.658692633456105,12,"SLC34A2;CGN;SHROOM3"
"Motor Neurons",0.892057026476578,0.924734920910829,0.0517405459873163,0.419678714859438,0.629596955402638,2,"ONECUT2;B4GALNT1"
"Myofibroblasts",0.887983706720978,0.924734920910829,0.0519512476197082,0.422021419009371,0.633111451963896,2,"MYLK;TPM1"
"T Cells",0.908221797323136,0.924734920910829,0.0480220415968251,-0.310617185803555,-0.631887372526641,6,"CD81;TGIF1;JUNB"
"Myoepithelial Cells",0.952182952182952,0.963655035944193,0.0496901392724606,-0.22735246039562,-0.610151740152462,16,"SDC4;CDC42EP5"
"Cardiomyocytes",0.980806142034549,0.985355648535565,0.0446854397644147,0.206936820183999,0.528996403862346,16,"CPT1A;HMGB2;ATP2A2;CTNNB1;ADIPOR2"
"Germ Cells",0.985355648535565,0.985355648535565,0.0484087618816951,0.254941373534338,0.47776574209048,5,"RSBN1L;MYO1D;SMIM24;AQP11;MRPL14"
